date,delta_deg,E_day_kWh
2024-08-08,11,0.4108399229324073
2024-08-08,12,0.4095720826579269
2024-08-08,13,0.4082568432494309
2024-08-08,14,0.4068945748628387
2024-08-09,10,0.9376405999238787
2024-08-09,11,0.9367150912980692
2024-08-09,12,0.9356273846928629
2024-08-09,13,0.9343777605120798
2024-08-09,14,0.9329665240395837
2024-08-10,10,0.3579864731979677
2024-08-10,11,0.35722758936990306
2024-08-10,12,0.3564318151885885
2024-08-10,13,0.3555993908083782
2024-08-10,14,0.35473056699555866
2024-08-11,10,1.05615054884557
2024-08-11,11,1.054877647863283
2024-08-11,12,1.0534220639322953
2024-08-11,13,1.0517839129140265
2024-08-11,14,1.0499633252982177
2024-08-12,10,1.19102549561073
2024-08-12,11,1.1900106449889432
2024-08-12,12,1.1887847343868543
2024-08-12,13,1.1873479909502311
2024-08-12,14,1.1854876167319817
2024-08-13,10,0.5018406615342338
2024-08-13,11,0.5003156788257916
2024-08-13,12,0.4987282695369445
2024-08-13,13,0.4971010746165745
2024-08-13,14,0.4955055989966571
2024-08-14,10,1.0244321247991477
2024-08-14,11,1.0233476493946982
2024-08-14,12,1.0220304741127049
2024-08-14,13,1.0200408558069471
2024-08-14,14,1.017921208123916
2024-08-15,10,1.3689077545332216
2024-08-15,11,1.3678617453082151
2024-08-15,12,1.3660284487040626
2024-08-15,13,1.3640263680618983
2024-08-15,14,1.3618551799682164
2024-08-16,10,1.3526062148897058
2024-08-16,11,1.35099553740169
2024-08-16,12,1.3492219533103411
2024-08-16,13,1.34728505575888
2024-08-16,14,1.3451844037455631
2024-08-17,10,0.834383864906146
2024-08-17,11,0.8374801282644885
2024-08-17,12,0.8404194679535185
2024-08-17,13,0.8432015989604089
2024-08-17,14,0.8458263618714623
2024-08-18,10,1.3979485265102127
2024-08-18,11,1.4017986782222525
2024-08-18,12,1.4053098906449135
2024-08-18,13,1.4084840348869143
2024-08-18,14,1.4113231871569734
2024-08-19,10,1.507105720079825
2024-08-19,11,1.510850878771063
2024-08-19,12,1.5142209994083742
2024-08-19,13,1.517218812171135
2024-08-19,14,1.5198472406342092
2024-08-20,10,1.4479283925045
2024-08-20,11,1.4522179945094935
2024-08-20,12,1.4561785044323423
2024-08-20,13,1.4598111241633918
2024-08-20,14,1.4631172313842062
2024-08-21,10,1.333709665473803
2024-08-21,11,1.337790109182668
2024-08-21,12,1.3415646839756827
2024-08-21,13,1.345034783337568
2024-08-21,14,1.3482019874758027
2024-08-22,10,1.5641084226169502
2024-08-22,11,1.567336859112123
2024-08-22,12,1.5702154583275925
2024-08-22,13,1.5727459310179839
2024-08-22,14,1.5749301463339482
2024-08-23,10,1.443249187696085
2024-08-23,11,1.4457951593461809
2024-08-23,12,1.4480717761570272
2024-08-23,13,1.4500788969484475
2024-08-23,14,1.451816476988476
2024-08-24,10,1.1823290048146184
2024-08-24,11,1.18506206253766
2024-08-24,12,1.187576481367047
2024-08-24,13,1.1898723069604882
2024-08-24,14,1.1919496919063772
2024-08-25,10,1.2895658426461762
2024-08-25,11,1.29186684774041
2024-08-25,12,1.2939302070631984
2024-08-25,13,1.2957556417938203
2024-08-25,14,1.2973429583906648
2024-08-26,10,0.5367213494196301
2024-08-26,11,0.5382248692499897
2024-08-26,12,0.5396442126826896
2024-08-26,13,0.5409791210758241
2024-08-26,14,0.5422293859563669
2024-08-27,10,0.8333031747055595
2024-08-27,11,0.835085205119427
2024-08-27,12,0.8367323854546797
2024-08-27,13,0.8382444047591389
2024-08-27,14,0.8396210181732707
2024-08-28,10,1.493299871587956
2024-08-28,11,1.4960411478306224
2024-08-28,12,1.4984970798968895
2024-08-28,13,1.500668214000485
2024-08-28,14,1.5025552012144827
2024-08-29,10,1.7386406571851525
2024-08-29,11,1.7418052933373311
2024-08-29,12,1.7446395686021665
2024-08-29,13,1.7471445817889104
2024-08-29,14,1.7493215151183468
2024-08-30,10,1.6319949131220424
2024-08-30,11,1.6341277254560527
2024-08-30,12,1.6359400087266471
2024-08-30,13,1.6374336745683649
2024-08-30,14,1.6386107007597697
2024-08-31,10,1.5931912219163156
2024-08-31,11,1.5955392158093418
2024-08-31,12,1.5976011687695115
2024-08-31,13,1.59937725154612
2024-08-31,14,1.6008677099954571
2024-09-01,10,1.6328315075827868
2024-09-01,11,1.6353382186209342
2024-09-01,12,1.6375542297458028
2024-09-01,13,1.6394798656340281
2024-09-01,14,1.6411155160524258
2024-09-02,10,1.3576423392373986
2024-09-02,11,1.3589151263524128
2024-09-02,12,1.3599693138980127
2024-09-02,13,1.360804771503315
2024-09-02,14,1.361421400997559
2024-09-03,10,0.6750161526579412
2024-09-03,11,0.6743214306854629
2024-09-03,12,0.6735477112195817
2024-09-03,13,0.6726951227183392
2024-09-03,14,0.671763816305112
2024-09-04,10,0.8559515296664009
2024-09-04,11,0.856682196340919
2024-09-04,12,0.8573170661127535
2024-09-04,13,0.8578229588468258
2024-09-04,14,0.8581998985299242
2024-09-05,10,1.6025679565689652
2024-09-05,11,1.6045202746354261
2024-09-05,12,1.606341191069242
2024-09-05,13,1.6078824254657602
2024-09-05,14,1.6091447599689965
2024-09-06,10,1.7559453039239952
2024-09-06,11,1.7579190940575395
2024-09-06,12,1.7598377970871901
2024-09-06,13,1.7614518304845987
